,Type,ST,STNAME,COUNTY/METRO,Total households (2012-2016),Renter households (2012-2016),% of total households that are renters (2012-2016),Minimum wage,Estimated mean renter wage,SSI monthly payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI ,Estimated renter median income,Rent affordable at renter median income,Rent affordable at 30% of AMI,Rent affordable with full-time job paying min wage,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
COUNTY,4,AK,Alaska,Northwest Arctic Borough,1904,860,45,9.84,40.46,1112,1080,1111,1276,1732,1738,64000,19200,65785,1645,480,512,2104,334,43200,44440,51040,69280,69520,20.77,21.37,24.54,33.31,33.42,84,87,100,135,136,21,21,24,33,33
COUNTY,4,AK,Alaska,Petersburg Census Area,1237,397,32,9.84,9.15,1112,692,816,1085,1360,1670,88300,26490,35468,887,662,512,476,334,27680,32640,43400,54400,66800,13.31,15.69,20.87,26.15,32.12,54,64,85,106,131,58,69,91,114,140
COUNTY,4,AK,Alaska,Prince of Wales-Hyder Census Area,2267,642,28,9.84,13.35,1112,790,795,1032,1294,1406,65500,19650,38326,958,491,512,694,334,31600,31800,41280,51760,56240,15.19,15.29,19.85,24.88,27.04,62,62,81,101,110,46,46,59,75,81
COUNTY,4,AK,Alaska,Sitka City and Borough,3504,1544,44,9.84,13.96,1112,903,1007,1261,1753,2221,91700,27510,51908,1298,688,512,726,334,36120,40280,50440,70120,88840,17.37,19.37,24.25,33.71,42.71,71,79,99,137,174,50,55,69,97,122
COUNTY,4,AK,Alaska,Skagway Municipality,428,195,46,9.84,14.86,1112,965,1090,1351,1965,2079,85000,25500,57264,1432,638,512,773,334,38600,43600,54040,78600,83160,18.56,20.96,25.98,37.79,39.98,75,85,106,154,163,50,56,70,102,108
COUNTY,4,AK,Alaska,Southeast Fairbanks Census Area,2085,591,28,9.84,26.9,1112,872,1030,1220,1775,2149,77600,23280,53182,1330,582,512,1399,334,34880,41200,48800,71000,85960,16.77,19.81,23.46,34.13,41.33,68,81,95,139,168,25,29,35,51,61
COUNTY,4,AK,Alaska,Valdez-Cordova Census Area,2937,832,28,9.84,15.94,1112,835,898,1194,1497,1838,95000,28500,50235,1256,713,512,829,334,33400,35920,47760,59880,73520,16.06,17.27,22.96,28.79,35.35,65,70,93,117,144,40,43,58,72,89
COUNTY,4,AK,Alaska,Wrangell City and Borough,1045,329,31,9.84,9.1,1112,718,723,962,1223,1480,70600,21180,30369,759,530,512,473,334,28720,28920,38480,48920,59200,13.81,13.9,18.5,23.52,28.46,56,57,75,96,116,61,61,81,103,125
COUNTY,4,AK,Alaska,Yakutat City and Borough,247,98,40,9.84,10.72,1112,799,841,1118,1402,1721,84800,25440,47884,1197,636,512,558,334,31960,33640,44720,56080,68840,15.37,16.17,21.5,26.96,33.1,62,66,87,110,135,57,60,80,101,123
COUNTY,4,AK,Alaska,Yukon-Koyukuk Census Area,1981,577,29,9.84,19.01,1112,613,617,789,1033,1390,50600,15180,30170,754,380,512,988,334,24520,24680,31560,41320,55600,11.79,11.87,15.17,19.87,26.73,48,48,62,81,109,25,25,32,42,56
STATE,1,AL,Alabama,,1851061,583237,32,7.25,12.53,750,578,629,762,1013,1189,61243,18373,27495,687,459,377,651,225,23120,25153,30466,40515,47543,11.12,12.09,14.65,19.48,22.86,61,67,81,107,126,35,39,47,62,73
NONMETRO,2,AL,Alabama,,440758,129482,29,7.25,10.72,750,475,501,624,839,935,47802,14341,21949,549,359,377,557,225,18992,20031,24966,33565,37388,9.13,9.63,12,16.14,17.97,50,53,66,89,99,34,36,45,60,67
METRO,3,AL,Alabama,Anniston-Oxford-Jacksonville MSA,45071,13964,31,7.25,9.81,750,477,511,679,887,1035,56800,17040,24969,624,426,377,510,225,19080,20440,27160,35480,41400,9.17,9.83,13.06,17.06,19.9,51,54,72,94,110,37,40,53,70,81
METRO,3,AL,Alabama,Auburn-Opelika MSA,57901,23869,41,7.25,8.83,750,557,633,827,1107,1339,66900,20070,25494,637,502,377,459,225,22280,25320,33080,44280,53560,10.71,12.17,15.9,21.29,25.75,59,67,88,117,142,49,55,72,96,117
METRO,3,AL,Alabama,Birmingham-Hoover HMFA,397214,124932,31,7.25,15.21,750,692,768,882,1176,1315,71000,21300,31325,783,533,377,791,225,27680,30720,35280,47040,52600,13.31,14.77,16.96,22.62,25.29,73,81,94,125,140,35,39,45,59,67
METRO,3,AL,Alabama,Chilton County HMFA,16619,3984,24,7.25,11.04,750,506,551,633,921,1115,54600,16380,28165,704,410,377,574,225,20240,22040,25320,36840,44600,9.73,10.6,12.17,17.71,21.44,54,58,67,98,118,35,38,44,64,78
METRO,3,AL,Alabama,Columbus MSA,22333,9230,41,7.25,13.43,750,621,685,823,1142,1450,56000,16800,29982,750,420,377,698,225,24840,27400,32920,45680,58000,11.94,13.17,15.83,21.96,27.88,66,73,87,121,154,36,39,47,65,83
METRO,3,AL,Alabama,Daphne-Fairhope-Foley MSA,75149,21244,28,7.25,10.95,750,729,762,879,1280,1471,69400,20820,34990,875,521,377,569,225,29160,30480,35160,51200,58840,14.02,14.65,16.9,24.62,28.29,77,81,93,136,156,51,54,62,90,103
METRO,3,AL,Alabama,Decatur MSA,59485,16142,27,7.25,12.58,750,443,523,669,873,926,58700,17610,28599,715,440,377,654,225,17720,20920,26760,34920,37040,8.52,10.06,12.87,16.79,17.81,47,55,71,93,98,27,32,41,53,57
METRO,3,AL,Alabama,Dothan HMFA,50020,16648,33,7.25,12.06,750,531,535,695,934,1090,52200,15660,26685,667,392,377,627,225,21240,21400,27800,37360,43600,10.21,10.29,13.37,17.96,20.96,56,57,74,99,116,34,34,44,60,70
METRO,3,AL,Alabama,Florence-Muscle Shoals MSA,60466,18211,30,7.25,9.93,750,526,529,669,887,1110,57500,17250,24929,623,431,377,516,225,21040,21160,26760,35480,44400,10.12,10.17,12.87,17.06,21.35,56,56,71,94,118,41,41,52,69,86
METRO,3,AL,Alabama,Gadsden MSA,39522,11478,29,7.25,10.06,750,494,497,661,829,972,54100,16230,24242,606,406,377,523,225,19760,19880,26440,33160,38880,9.5,9.56,12.71,15.94,18.69,52,53,70,88,103,38,38,51,63,74
METRO,3,AL,Alabama,Henry County HMFA,6831,1360,20,7.25,12.48,750,538,554,636,797,1120,58300,17490,25134,628,437,377,649,225,21520,22160,25440,31880,44800,10.35,10.65,12.23,15.33,21.54,57,59,67,85,119,33,34,39,49,69
METRO,3,AL,Alabama,Huntsville MSA,172022,52544,31,7.25,13.41,750,521,603,717,966,1263,78700,23610,32008,800,590,377,698,225,20840,24120,28680,38640,50520,10.02,11.6,13.79,18.58,24.29,55,64,76,102,134,30,35,41,55,72
METRO,3,AL,Alabama,Mobile MSA,154261,52495,34,7.25,12.89,750,679,683,840,1102,1276,59800,17940,26255,656,449,377,670,225,27160,27320,33600,44080,51040,13.06,13.13,16.15,21.19,24.54,72,72,89,117,135,41,41,50,66,76
METRO,3,AL,Alabama,Montgomery MSA,144209,51627,36,7.25,12.5,750,588,691,829,1055,1451,62900,18870,30152,754,472,377,650,225,23520,27640,33160,42200,58040,11.31,13.29,15.94,20.29,27.9,62,73,88,112,154,36,43,51,65,89
METRO,3,AL,Alabama,Pickens County HMFA,7618,2077,27,7.25,7.77,750,451,456,606,822,825,44100,13230,15145,379,331,377,404,225,18040,18240,24240,32880,33000,8.67,8.77,11.65,15.81,15.87,48,48,64,87,88,45,45,60,81,82
METRO,3,AL,Alabama,Tuscaloosa HMFA,76388,27528,36,7.25,10.97,750,599,660,805,1034,1096,61500,18450,26759,669,461,377,570,225,23960,26400,32200,41360,43840,11.52,12.69,15.48,19.88,21.08,64,70,85,110,116,42,46,56,73,77
METRO,3,AL,Alabama,Walker County HMFA,25194,6422,25,7.25,9.6,750,502,505,655,828,979,51700,15510,20854,521,388,377,499,225,20080,20200,26200,33120,39160,9.65,9.71,12.6,15.92,18.83,53,54,69,88,104,40,40,52,66,78
COUNTY,4,AL,Alabama,Autauga County,20800,5582,27,7.25,12.06,750,588,691,829,1055,1451,62900,18870,36948,924,472,377,627,225,23520,27640,33160,42200,58040,11.31,13.29,15.94,20.29,27.9,62,73,88,112,154,38,44,53,67,93
COUNTY,4,AL,Alabama,Baldwin County,75149,21244,28,7.25,10.95,750,729,762,879,1280,1471,69400,20820,34990,875,521,377,569,225,29160,30480,35160,51200,58840,14.02,14.65,16.9,24.62,28.29,77,81,93,136,156,51,54,62,90,103
COUNTY,4,AL,Alabama,Barbour County,9122,3293,36,7.25,8.92,750,491,494,657,824,929,44500,13350,18021,451,334,377,464,225,19640,19760,26280,32960,37160,9.44,9.5,12.63,15.85,17.87,52,52,70,87,99,42,43,57,71,80
COUNTY,4,AL,Alabama,Bibb County,7048,1929,27,7.25,14.35,750,692,768,882,1176,1315,71000,21300,29242,731,533,377,746,225,27680,30720,35280,47040,52600,13.31,14.77,16.96,22.62,25.29,73,81,94,125,140,37,41,47,63,70
COUNTY,4,AL,Alabama,Blount County,20619,4365,21,7.25,9.32,750,692,768,882,1176,1315,71000,21300,27246,681,533,377,484,225,27680,30720,35280,47040,52600,13.31,14.77,16.96,22.62,25.29,73,81,94,125,140,57,63,73,97,109
COUNTY,4,AL,Alabama,Bullock County,3556,956,27,7.25,11.22,750,483,483,606,822,825,44300,13290,21448,536,332,377,584,225,19320,19320,24240,32880,33000,9.29,9.29,11.65,15.81,15.87,51,51,64,87,88,33,33,42,56,57
COUNTY,4,AL,Alabama,Butler County,7675,2282,30,7.25,9.28,750,453,456,606,809,985,42300,12690,20129,503,317,377,483,225,18120,18240,24240,32360,39400,8.71,8.77,11.65,15.56,18.94,48,48,64,86,105,38,38,50,67,82
COUNTY,4,AL,Alabama,Calhoun County,45071,13964,31,7.25,9.81,750,477,511,679,887,1035,56800,17040,24969,624,426,377,510,225,19080,20440,27160,35480,41400,9.17,9.83,13.06,17.06,19.9,51,54,72,94,110,37,40,53,70,81
COUNTY,4,AL,Alabama,Chambers County,13851,4481,32,7.25,13.1,750,440,556,676,846,932,48200,14460,27559,689,362,377,681,225,17600,22240,27040,33840,37280,8.46,10.69,13,16.27,17.92,47,59,72,90,99,26,33,40,50,55
COUNTY,4,AL,Alabama,Cherokee County,10999,2291,21,7.25,11.1,750,453,456,606,854,857,47900,14370,27564,689,359,377,577,225,18120,18240,24240,34160,34280,8.71,8.77,11.65,16.42,16.48,48,48,64,91,91,31,32,42,59,59
COUNTY,4,AL,Alabama,Chilton County,16619,3984,24,7.25,11.04,750,506,551,633,921,1115,54600,16380,28165,704,410,377,574,225,20240,22040,25320,36840,44600,9.73,10.6,12.17,17.71,21.44,54,58,67,98,118,35,38,44,64,78
COUNTY,4,AL,Alabama,Choctaw County,5562,1083,19,7.25,11.61,750,506,509,677,849,957,49700,14910,15909,398,373,377,604,225,20240,20360,27080,33960,38280,9.73,9.79,13.02,16.33,18.4,54,54,72,90,102,34,34,45,56,63
COUNTY,4,AL,Alabama,Clarke County,9554,3132,33,7.25,9.4,750,483,528,606,881,978,49700,14910,16954,424,373,377,489,225,19320,21120,24240,35240,39120,9.29,10.15,11.65,16.94,18.81,51,56,64,93,104,40,43,50,72,80
COUNTY,4,AL,Alabama,Clay County,5363,1338,25,7.25,11.78,750,513,528,606,881,1067,45500,13650,28768,719,341,377,613,225,20520,21120,24240,35240,42680,9.87,10.15,11.65,16.94,20.52,54,56,64,93,113,33,34,40,58,70
COUNTY,4,AL,Alabama,Cleburne County,5834,1423,24,7.25,13.36,750,473,476,633,794,1041,51400,15420,22357,559,386,377,695,225,18920,19040,25320,31760,41640,9.1,9.15,12.17,15.27,20.02,50,51,67,84,110,27,27,36,46,60
COUNTY,4,AL,Alabama,Coffee County,19375,6458,33,7.25,9.74,750,524,526,619,900,1090,65400,19620,30269,757,491,377,506,225,20960,21040,24760,36000,43600,10.08,10.12,11.9,17.31,20.96,56,56,66,95,116,41,42,49,71,86
COUNTY,4,AL,Alabama,Colbert County,22105,6169,28,7.25,11.51,750,526,529,669,887,1110,57500,17250,25513,638,431,377,598,225,21040,21160,26760,35480,44400,10.12,10.17,12.87,17.06,21.35,56,56,71,94,118,35,35,45,59,74
COUNTY,4,AL,Alabama,Conecuh County,5090,1093,21,7.25,7.55,750,453,456,606,854,857,34500,10350,12804,320,259,377,392,225,18120,18240,24240,34160,34280,8.71,8.77,11.65,16.42,16.48,48,48,64,91,91,46,46,62,87,87
COUNTY,4,AL,Alabama,Coosa County,4206,861,20,7.25,13.51,750,502,502,630,849,891,44800,13440,23552,589,336,377,702,225,20080,20080,25200,33960,35640,9.65,9.65,12.12,16.33,17.13,53,53,67,90,95,29,29,36,48,51
COUNTY,4,AL,Alabama,Covington County,15179,3836,25,7.25,11.12,750,453,456,606,801,1067,48200,14460,25296,632,362,377,578,225,18120,18240,24240,32040,42680,8.71,8.77,11.65,15.4,20.52,48,48,64,85,113,31,32,42,55,74
COUNTY,4,AL,Alabama,Crenshaw County,5426,1621,30,7.25,10.4,750,456,459,606,773,971,52900,15870,22869,572,397,377,541,225,18240,18360,24240,30920,38840,8.77,8.83,11.65,14.87,18.67,48,49,64,82,103,34,34,45,57,72
COUNTY,4,AL,Alabama,Cullman County,31081,7498,24,7.25,10.66,750,472,500,619,817,843,45100,13530,23469,587,338,377,554,225,18880,20000,24760,32680,33720,9.08,9.62,11.9,15.71,16.21,50,53,66,87,89,34,36,45,59,61
COUNTY,4,AL,Alabama,Dale County,18794,7381,39,7.25,15.67,750,403,486,614,840,1081,59500,17850,27313,683,446,377,815,225,16120,19440,24560,33600,43240,7.75,9.35,11.81,16.15,20.79,43,52,65,89,115,20,24,30,41,53
COUNTY,4,AL,Alabama,Dallas County,16099,6714,42,7.25,10.28,750,474,517,606,813,933,38700,11610,16695,417,290,377,535,225,18960,20680,24240,32520,37320,9.12,9.94,11.65,15.63,17.94,50,55,64,86,99,35,39,45,61,70
COUNTY,4,AL,Alabama,DeKalb County,24811,6873,28,7.25,11,750,537,541,717,901,989,45900,13770,25270,632,344,377,572,225,21480,21640,28680,36040,39560,10.33,10.4,13.79,17.33,19.02,57,57,76,96,105,38,38,50,63,69
COUNTY,4,AL,Alabama,Elmore County,28890,7675,27,7.25,9.78,750,588,691,829,1055,1451,62900,18870,32990,825,472,377,508,225,23520,27640,33160,42200,58040,11.31,13.29,15.94,20.29,27.9,62,73,88,112,154,46,54,65,83,114
COUNTY,4,AL,Alabama,Escambia County,13536,3895,29,7.25,11.34,750,513,528,606,797,825,42800,12840,20534,513,321,377,589,225,20520,21120,24240,31880,33000,9.87,10.15,11.65,15.33,15.87,54,56,64,85,88,35,36,41,54,56
COUNTY,4,AL,Alabama,Etowah County,39522,11478,29,7.25,10.06,750,494,497,661,829,972,54100,16230,24242,606,406,377,523,225,19760,19880,26440,33160,38880,9.5,9.56,12.71,15.94,18.69,52,53,70,88,103,38,38,51,63,74
COUNTY,4,AL,Alabama,Fayette County,6850,1514,22,7.25,8.23,750,483,528,606,851,857,45800,13740,19611,490,344,377,428,225,19320,21120,24240,34040,34280,9.29,10.15,11.65,16.37,16.48,51,56,64,90,91,45,49,57,80,80
COUNTY,4,AL,Alabama,Franklin County,11697,3644,31,7.25,10,750,483,519,606,760,857,47300,14190,22686,567,355,377,520,225,19320,20760,24240,30400,34280,9.29,9.98,11.65,14.62,16.48,51,55,64,81,91,37,40,47,58,66
COUNTY,4,AL,Alabama,Geneva County,10657,2639,25,7.25,9.51,750,531,535,695,934,1090,52200,15660,22967,574,392,377,495,225,21240,21400,27800,37360,43600,10.21,10.29,13.37,17.96,20.96,56,57,74,99,116,43,43,56,76,88
COUNTY,4,AL,Alabama,Greene County,3107,918,30,7.25,9.59,750,483,483,606,854,857,28500,8550,12696,317,214,377,499,225,19320,19320,24240,34160,34280,9.29,9.29,11.65,16.42,16.48,51,51,64,91,91,39,39,49,68,69
COUNTY,4,AL,Alabama,Hale County,5948,1481,25,7.25,8.45,750,599,660,805,1034,1096,61500,18450,16248,406,461,377,440,225,23960,26400,32200,41360,43840,11.52,12.69,15.48,19.88,21.08,64,70,85,110,116,55,60,73,94,100
COUNTY,4,AL,Alabama,Henry County,6831,1360,20,7.25,12.48,750,538,554,636,797,1120,58300,17490,25134,628,437,377,649,225,21520,22160,25440,31880,44800,10.35,10.65,12.23,15.33,21.54,57,59,67,85,119,33,34,39,49,69
COUNTY,4,AL,Alabama,Houston County,39363,14009,36,7.25,12.29,750,531,535,695,934,1090,52200,15660,27386,685,392,377,639,225,21240,21400,27800,37360,43600,10.21,10.29,13.37,17.96,20.96,56,57,74,99,116,33,33,43,58,68
COUNTY,4,AL,Alabama,Jackson County,19945,5418,27,7.25,9.53,750,399,517,625,784,851,47900,14370,22734,568,359,377,495,225,15960,20680,25000,31360,34040,7.67,9.94,12.02,15.08,16.37,42,55,66,83,90,32,42,50,63,69
COUNTY,4,AL,Alabama,Jefferson County,261773,96897,37,7.25,15.72,750,692,768,882,1176,1315,71000,21300,29487,737,533,377,817,225,27680,30720,35280,47040,52600,13.31,14.77,16.96,22.62,25.29,73,81,94,125,140,34,38,43,58,64
COUNTY,4,AL,Alabama,Lamar County,6010,1614,27,7.25,9.65,750,483,523,606,854,857,42900,12870,18409,460,322,377,502,225,19320,20920,24240,34160,34280,9.29,10.06,11.65,16.42,16.48,51,55,64,91,91,39,42,48,68,68
COUNTY,4,AL,Alabama,Lauderdale County,38361,12042,31,7.25,8.7,750,526,529,669,887,1110,57500,17250,24630,616,431,377,453,225,21040,21160,26760,35480,44400,10.12,10.17,12.87,17.06,21.35,56,56,71,94,118,46,47,59,78,98
COUNTY,4,AL,Alabama,Lawrence County,13321,2695,20,7.25,10.41,750,443,523,669,873,926,58700,17610,28573,714,440,377,541,225,17720,20920,26760,34920,37040,8.52,10.06,12.87,16.79,17.81,47,55,71,93,98,33,39,49,65,68
COUNTY,4,AL,Alabama,Lee County,57901,23869,41,7.25,8.83,750,557,633,827,1107,1339,66900,20070,25494,637,502,377,459,225,22280,25320,33080,44280,53560,10.71,12.17,15.9,21.29,25.75,59,67,88,117,142,49,55,72,96,117
COUNTY,4,AL,Alabama,Limestone County,32073,7709,24,7.25,10.19,750,521,603,717,966,1263,78700,23610,26180,655,590,377,530,225,20840,24120,28680,38640,50520,10.02,11.6,13.79,18.58,24.29,55,64,76,102,134,39,46,54,73,95
COUNTY,4,AL,Alabama,Lowndes County,4238,1120,26,7.25,14.77,750,588,691,829,1055,1451,62900,18870,18299,457,472,377,768,225,23520,27640,33160,42200,58040,11.31,13.29,15.94,20.29,27.9,62,73,88,112,154,31,36,43,55,76
COUNTY,4,AL,Alabama,Macon County,7915,2693,34,7.25,8.69,750,453,456,606,871,1012,42800,12840,19476,487,321,377,452,225,18120,18240,24240,34840,40480,8.71,8.77,11.65,16.75,19.46,48,48,64,92,107,40,40,54,77,90
COUNTY,4,AL,Alabama,Madison County,139949,44835,32,7.25,13.76,750,521,603,717,966,1263,78700,23610,33010,825,590,377,716,225,20840,24120,28680,38640,50520,10.02,11.6,13.79,18.58,24.29,55,64,76,102,134,29,34,40,54,71
